FunctionId,SubmitTime,RTT,InvocationDelay,ResponseDelay,FunctionDuration,ActiveFunctionsAtRequest,ActiveFunctionsAtResponse
1015,1425,1112,18.708984375,14.64013671875,1078.650951385498,1000,999
1016,1425,1153,19.576904296875,15.054931640625,1118.368148803711,1000,999
1017,1429,1106,18.547119140625,13.50244140625,1074.9504566192627,1000,999
1018,1438,1158,17.151123046875,13.857666015625,1126.9912719726562,1000,999
1019,1440,1135,19.868896484375,34.546630859375,1080.5845260620117,1000,999
1020,1443,1152,20.413818359375,14.41796875,1117.1681880950928,1000,999
1021,1444,1128,18.40673828125,13.663330078125,1095.9298610687256,1000,999
1022,1463,1125,15.9609375,14.13525390625,1094.9037075042725,1000,999
1023,1475,1117,21.34423828125,32.92431640625,1062.7315044403076,1000,999
1024,1479,1132,19.09765625,33.101318359375,1079.801082611084,1000,999
1025,1480,1127,16.615966796875,13.9453125,1096.4388847351074,1000,999
1026,1489,1145,17.72509765625,14.911865234375,1112.3631000518799,1000,999
1027,1491,1119,18.1728515625,33.654296875,1067.1727657318115,1000,999
1028,1491,1157,20.97216796875,14.42724609375,1121.60062789917,1000,999
1029,1493,1136,17.404296875,14.450927734375,1104.144811630249,1000,999
1030,1497,1139,17.89111328125,33.21728515625,1087.8915786743164,1000,999
1031,1499,1146,18.7685546875,14.87060546875,1112.3607158660889,999,999
1032,1499,1118,19.53955078125,14.787353515625,1083.6730003356934,1000,999
1033,1507,1126,20.322265625,13.79443359375,1091.8834209442139,1000,999
1034,1512,1150,19.477783203125,15.438720703125,1115.0834560394287,1000,999
1035,1513,1149,21.290283203125,13.47216796875,1114.2375469207764,1000,998
1036,1516,1146,19.349609375,13.65185546875,1112.9984855651855,1000,999
1037,1516,1125,19.346435546875,14.2333984375,1091.4201736450195,1000,999
1038,1518,1130,33.116943359375,16.83984375,1080.0433158874512,1000,999
1039,1526,1123,18.47265625,14.110107421875,1090.4171466827393,999,998
1040,1526,1127,17.92138671875,33.824951171875,1075.2534866333008,1000,999
1041,1528,1082,20.13818359375,33.1796875,1028.6822319030762,1000,999
1042,1529,1111,18.068603515625,59.377197265625,1033.5543155670166,1000,999
1043,1531,1118,18.33447265625,33.316650390625,1066.3487911224365,1000,999
1044,1533,1135,20.260986328125,14.08251953125,1100.656509399414,1000,999
1045,1533,1137,18.04833984375,34.872802734375,1084.0790271759033,1000,999
1046,1535,1127,18.09423828125,14.357666015625,1094.547986984253,1000,997
1047,1540,1126,18.04443359375,13.331298828125,1094.6242809295654,1000,999
1048,1541,1068,18.319580078125,16.5830078125,1033.097505569458,1000,999
1049,1543,1147,17.271728515625,13.581298828125,1116.1470413208008,1000,999
1050,1543,1144,20.16455078125,15.005859375,1108.8297367095947,1000,999
1051,1543,1252,131.07177734375,13.194091796875,1107.734203338623,999,999
1052,1543,1248,130.286865234375,14.60986328125,1103.1031608581543,1000,999
1053,1654,1154,19.854248046875,33.88671875,1101.2589931488037,1000,999
1054,1655,1096,18.195068359375,33.206787109375,1044.59810256958,1000,999
1055,1655,1132,19.777099609375,33.365234375,1079.8578262329102,998,998
1056,1656,1133,24.816650390625,33.651611328125,1080.5318355560303,996,999
1057,1656,1096,22.684326171875,14.431396484375,1061.8844032287598,995,999
1058,1655,1129,24.14892578125,34.4423828125,1074.408769607544,995,999
1059,1656,1139,25.190185546875,33.823486328125,1079.986333847046,996,999
1060,1656,1147,22.0263671875,32.9580078125,1096.0156917572021,997,999
1061,1656,1130,23.521240234375,14.163330078125,1095.3154563903809,996,999
1062,1656,1100,23.27734375,14.74462890625,1065.9780502319336,994,999
1063,1656,1134,21.788818359375,13.833251953125,1101.3779640197754,994,998
1064,1656,1137,25.560546875,14.294189453125,1104.1452884674072,985,999
1065,1657,1104,25.369873046875,14.39208984375,1070.2378749847412,984,999
1066,1657,1138,24.275146484375,33.86328125,1084.8615169525146,980,998
1067,1657,1113,24.75048828125,33.786376953125,1054.4631481170654,980,998
1068,1657,1117,34.911865234375,14.19482421875,1074.8932361602783,981,999
1069,1657,1116,23.89892578125,13.805419921875,1083.2955837249756,982,999
1070,1657,1154,23.466552734375,34.336669921875,1101.1967658996582,982,999
1071,1658,1136,22.124267578125,13.734619140625,1100.1410484313965,982,999
1072,1658,1154,24.099609375,14.584716796875,1121.3157176971436,983,999
1073,1658,1156,18.235595703125,13.994873046875,1123.7695217132568,981,999
1074,1658,1132,20.677734375,14.07373046875,1100.2485752105713,980,999
1075,1657,1115,25.6298828125,13.967529296875,1082.4027061462402,978,999
1076,1658,1077,26.375,14.32861328125,1042.2964096069336,979,999
1077,1658,1099,26.602294921875,33.201416015625,1046.196460723877,977,999
1078,1659,1111,17.9765625,14.552734375,1078.4707069396973,974,999
1079,1659,1119,18.30078125,13.468505859375,1088.2306098937988,975,999
1080,1659,1118,19.98974609375,34.2626953125,1064.7473335266113,972,999
1081,1656,1195,23.791748046875,14.17333984375,1161.0350608825684,973,999
1082,1659,1137,25.2373046875,32.973388671875,1084.7892761230469,971,999
1083,1659,1109,20.00732421875,14.852783203125,1074.1398334503174,969,999
1084,1659,1140,24.580078125,32.657470703125,1088.7622833251953,970,999
